"ID" "word" "n" "tf" "idf" "tf_idf"
"1" 1 "account" 1 0.111111111111111 4.48556731361472 0.498396368179414
"2" 1 "akshaykumar" 1 0.111111111111111 4.35773394210484 0.484192660233871
"3" 1 "bollywoodnews" 1 0.111111111111111 4.6321707878066 0.514685643089622
"4" 1 "hack" 1 0.111111111111111 4.6321707878066 0.514685643089622
"5" 1 "just" 1 0.111111111111111 3.11070164831845 0.345633516479828
"6" 1 "koimoi" 1 0.111111111111111 4.6321707878066 0.514685643089622
"7" 1 "read" 1 0.111111111111111 4.35773394210484 0.484192660233871
"8" 1 "salmankhan" 1 0.111111111111111 4.58087749341905 0.508986388157672
"9" 1 "twitter" 1 0.111111111111111 3.79242013305478 0.421380014783864
"10" 2 "akshaykumar" 1 0.0833333333333333 4.35773394210484 0.363144495175403
"11" 2 "famous" 1 0.0833333333333333 6.88346258641309 0.573621882201091
"12" 2 "goldtrailer" 1 0.0833333333333333 6.88346258641309 0.573621882201091
"13" 2 "india" 1 0.0833333333333333 4.24440525679783 0.353700438066486
"14" 2 "prabhas" 1 0.0833333333333333 7.57660976697304 0.631384147247753
"15" 2 "rajinikanth" 1 0.0833333333333333 6.47799747830493 0.539833123192077
"16" 2 "ranbir" 1 0.0833333333333333 6.88346258641309 0.573621882201091
"17" 2 "rtmost" 1 0.0833333333333333 6.88346258641309 0.573621882201091
"18" 2 "saaho" 1 0.0833333333333333 7.57660976697304 0.631384147247753
"19" 2 "salmankhan" 1 0.0833333333333333 4.58087749341905 0.381739791118254
"20" 2 "sanju" 1 0.0833333333333333 6.47799747830493 0.539833123192077
"21" 2 "superstar" 1 0.0833333333333333 5.4971682252932 0.458097352107767
"22" 3 "bird" 1 0.125 6.47799747830493 0.809749684788116
"23" 3 "entire" 1 0.125 6.88346258641309 0.860432823301637
"24" 3 "made" 1 0.125 5.4971682252932 0.68714602816165
"25" 3 "noticed" 1 0.125 6.88346258641309 0.860432823301637
"26" 3 "ofmessage" 1 0.125 6.88346258641309 0.860432823301637
"27" 3 "one" 1 0.125 3.51616675642662 0.439520844553327
"28" 3 "smaphones" 1 0.125 6.88346258641309 0.860432823301637
"29" 3 "thats" 1 0.125 6.19031540585315 0.773789425731643
"30" 4 "akshaykumar" 1 0.111111111111111 4.35773394210484 0.484192660233871
"31" 4 "clash" 1 0.111111111111111 6.88346258641309 0.764829176268121
"32" 4 "kedarnath" 1 0.111111111111111 6.88346258641309 0.764829176268121
"33" 4 "point" 1 0.111111111111111 5.78485029774498 0.642761144193887
"34" 4 "rajinikanth" 1 0.111111111111111 6.47799747830493 0.719777497589436
"35" 4 "saraalikhans" 1 0.111111111111111 6.88346258641309 0.764829176268121
"36" 4 "set" 1 0.111111111111111 5.63069961791772 0.625633290879747
"37" 4 "starring" 1 0.111111111111111 6.47799747830493 0.719777497589436
"38" 4 "sushantsinghrajput" 1 0.111111111111111 6.88346258641309 0.764829176268121
"39" 5 "akshaykumar" 1 0.25 4.35773394210484 1.08943348552621
"40" 5 "point" 1 0.25 5.78485029774498 1.44621257443625
"41" 5 "pointfromnov" 1 0.25 7.57660976697304 1.89415244174326
"42" 5 "rajnikanth" 1 0.25 6.88346258641309 1.72086564660327
"43" 6 "account" 1 0.111111111111111 4.48556731361472 0.498396368179414
"44" 6 "akshaykumar" 1 0.111111111111111 4.35773394210484 0.484192660233871
"45" 6 "bollywoodnews" 1 0.111111111111111 4.6321707878066 0.514685643089622
"46" 6 "hack" 1 0.111111111111111 4.6321707878066 0.514685643089622
"47" 6 "just" 1 0.111111111111111 3.11070164831845 0.345633516479828
"48" 6 "koimoi" 1 0.111111111111111 4.6321707878066 0.514685643089622
"49" 6 "read" 1 0.111111111111111 4.35773394210484 0.484192660233871
"50" 6 "salmankhan" 1 0.111111111111111 4.58087749341905 0.508986388157672
"51" 6 "twitter" 1 0.111111111111111 3.79242013305478 0.421380014783864
"52" 7 "account" 1 0.1 4.48556731361472 0.448556731361472
"53" 7 "akshaykumar" 1 0.1 4.35773394210484 0.435773394210484
"54" 7 "bollywoodnews" 1 0.1 4.6321707878066 0.46321707878066
"55" 7 "hack" 1 0.1 4.6321707878066 0.46321707878066
"56" 7 "just" 1 0.1 3.11070164831845 0.311070164831845
"57" 7 "koimoi" 1 0.1 4.6321707878066 0.46321707878066
"58" 7 "read" 1 0.1 4.35773394210484 0.435773394210484
"59" 7 "rtdid" 1 0.1 4.44111555104389 0.444111555104389
"60" 7 "salmankhan" 1 0.1 4.58087749341905 0.458087749341905
"61" 7 "twitter" 1 0.1 3.79242013305478 0.379242013305478
"62" 8 "first" 1 0.0769230769230769 5.78485029774498 0.444988484441922
"63" 8 "free" 1 0.0769230769230769 5.4971682252932 0.422859094253323
"64" 8 "gold" 1 0.0769230769230769 5.78485029774498 0.444988484441922
"65" 8 "historic" 1 0.0769230769230769 7.57660976697304 0.582816135921003
"66" 8 "hockeyteam" 1 0.0769230769230769 7.57660976697304 0.582816135921003
"67" 8 "india" 1 0.0769230769230769 4.24440525679783 0.326492712061372
"68" 8 "intells" 1 0.0769230769230769 7.57660976697304 0.582816135921003
"69" 8 "medal" 1 0.0769230769230769 7.57660976697304 0.582816135921003
"70" 8 "natio" 1 0.0769230769230769 7.57660976697304 0.582816135921003
"71" 8 "olympic" 1 0.0769230769230769 7.57660976697304 0.582816135921003
"72" 8 "set" 1 0.0769230769230769 5.63069961791772 0.433130739839825
"73" 8 "story" 1 0.0769230769230769 5.27402467397899 0.405694205690692
"74" 8 "won" 1 0.0769230769230769 7.57660976697304 0.582816135921003
