"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:29:43,FALSE,,"1016947629236748288",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TheSmilerNation",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:26:59,FALSE,,"1016946943535218689",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ThildeGrande",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:18:58,FALSE,,"1016944925907324928",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sextbangerz",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:18:52,FALSE,,"1016944900812636160",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","menggaystan",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:14:12,FALSE,,"1016943724771921920",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","gomezorgocyrus",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:13:44,FALSE,,"1016943605733314560",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","godcyruss",566,TRUE,FALSE,,
"—Me encanta esta imagen de Miley junto a su madre @tishcyrus. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
#mileycyrus #smilers #tishcyrus… https://t.co/8gh8CVnE3o",FALSE,0,,2018-07-11 07:09:38,TRUE,,"1016942575838736384",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","HechosMMCC",0,FALSE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:09:15,FALSE,,"1016942476811259905",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JulienBrianM",566,TRUE,FALSE,,
"—Primero ví la primera foto y dije... ¿Porqué se vistió así? Jajaja y después me acorde de este sketch de Miley hac… https://t.co/3fb5MNyfSJ",FALSE,0,,2018-07-11 07:02:22,TRUE,,"1016940745725480960",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","HechosMMCC",0,FALSE,FALSE,,
"Hannah Montana Forever Love That Let's Go (Official Music Video)<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B0><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #MileyCyrus @MileyCyrus @noahcyrus… https://t.co/O0yAvg5Qt0",FALSE,2,,2018-07-11 07:02:08,TRUE,,"1016940687986692096",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","xosweetenerxo",1,FALSE,FALSE,,
"They're angels<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BC><U+0088> @tishcyrus Thanks for this adorable gift <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> @MileyCyrus #Family #Cyrus #MileyCyrus @billyraycyrus… https://t.co/1aWdAfMVq1",FALSE,1,,2018-07-11 06:54:11,TRUE,,"1016938688176115712",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TonguofMiley",0,FALSE,FALSE,,
"<ed><U+00A0><U+00BE><ed><U+00B6><U+008B>Butterfly Fly Away - Hannah Montana<ed><U+00A0><U+00BE><ed><U+00B6><U+008B> #MileyCyrus @MileyCyrus @billyraycyrus https://t.co/yZTvoR3mU6",FALSE,3,,2018-07-11 06:51:44,FALSE,,"1016938068648001537",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","xosweetenerxo",1,FALSE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:51:06,FALSE,,"1016937910900314112",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","srtxsmiley",566,TRUE,FALSE,,
"RT @BlackBullet_5: Watch this amazing artist, she is beautiful and very talented! Amazing voice and catchy songs! She is @EmmaMuscatMusic .…",FALSE,0,,2018-07-11 06:50:27,FALSE,,"1016937747402108928",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","damaro_maria",7,TRUE,FALSE,,
"@Fresh1027NY @MikeAdamOnAir @StylishCyrus @ExtraMileyCyrus @MileyCyrusIndo @CamilaOnRadio @CCabelloPanama Of course… https://t.co/rMt05hG2NM",FALSE,0,"Fresh1027NY",2018-07-11 06:47:21,TRUE,"1016815286371184647","1016936965936205824","21667364","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TonguofMiley",0,FALSE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:46:31,FALSE,,"1016936756518707200",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TonguofMiley",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:43:19,FALSE,,"1016935952218980352",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mcsmiler18",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:41:07,FALSE,,"1016935400861061123",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mileysspaceboot",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:37:42,FALSE,,"1016934540856700929",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","outloud789",566,TRUE,FALSE,,
